group_id,quarter_issue_date_dt,Treated,Count,Post,log_Count
A61B,2013-03-31,0,22,0,3.091042453358316
A61B,2013-03-31,1,6,0,1.791759469228055
A61B,2013-06-30,0,23,0,3.1354942159291497
A61B,2013-06-30,1,6,0,1.791759469228055
A61B,2013-09-30,0,36,0,3.58351893845611
A61B,2013-09-30,1,4,0,1.3862943611198906
A61B,2013-12-31,0,20,0,2.995732273553991
A61B,2013-12-31,1,4,0,1.3862943611198906
A61B,2014-03-31,0,24,0,3.1780538303479458
A61B,2014-03-31,1,6,0,1.791759469228055
A61B,2014-06-30,0,31,1,3.4339872044851463
A61B,2014-06-30,1,6,1,1.791759469228055
A61B,2014-09-30,0,53,1,3.970291913552122
A61B,2014-09-30,1,2,1,0.6931471805599453
A61B,2014-12-31,0,44,1,3.784189633918261
A61B,2014-12-31,1,7,1,1.9459101490553132
A61B,2015-03-31,0,26,1,3.258096538021482
A61B,2015-03-31,1,7,1,1.9459101490553132
A61B,2015-06-30,0,40,1,3.6888794541139363
A61B,2015-06-30,1,6,1,1.791759469228055
A61B,2015-09-30,0,45,1,3.8066624897703196
A61B,2015-09-30,1,5,1,1.6094379124341003
A61B,2015-12-31,0,41,1,3.713572066704308
A61B,2015-12-31,1,7,1,1.9459101490553132
A61B,2016-03-31,0,56,1,4.02535169073515
A61B,2016-03-31,1,8,1,2.0794415416798357
A61B,2016-06-30,0,52,1,3.9512437185814275
A61B,2016-06-30,1,3,1,1.0986122886681098
A61B,2016-09-30,0,61,1,4.110873864173311
A61B,2016-09-30,1,7,1,1.9459101490553132
A61B,2016-12-31,0,49,1,3.8918202981106265
A61B,2016-12-31,1,2,1,0.6931471805599453
A61C,2012-12-31,0,1,0,0.0
A61C,2013-03-31,0,2,0,0.6931471805599453
A61C,2013-06-30,0,1,0,0.0
A61C,2013-12-31,0,1,0,0.0
A61C,2013-12-31,1,1,0,0.0
A61C,2014-03-31,0,1,0,0.0
A61C,2014-12-31,0,2,1,0.6931471805599453
A61C,2015-03-31,0,1,1,0.0
A61C,2015-06-30,0,1,1,0.0
A61C,2015-09-30,0,2,1,0.6931471805599453
A61C,2015-12-31,0,3,1,1.0986122886681098
A61C,2015-12-31,1,1,1,0.0
